Student_Name,Gender,CGPA,Attendance_Percentage,Parent/Guardian_Education_level,Travel_time_to_college,Relation_between_teachers,First_Semester_marks,Second_Semester_marks,Third_Semester_marks,Failed_in_subject/course_before,Average_weekly_attendance,Study_time_at_home,Enjoy_free_time_with
Sherry Mcdonald,Female,4.42,29.97,,29,Poor,96,13,85,Yes,46.45,5.24,Friends
Denise Smith,Female,3.99,29.93,12th,11,Poor,26,2,43,Yes,4.01,9.47,Study
Jennifer Jackson,Male,5.92,47.69,10th,34,Average,18,12,84,No,53.41,2.96,Friends
Tonya Myers,Female,8.12,87.91,Degree,34,Poor,79,31,5,Yes,92.62,2.69,Study
Aaron Navarro,Male,6.8,55.69,12th,70,Good,99,26,44,No,73.49,0.44,Family
Brandon Petersen,Female,2.25,52.96,Degree,104,Good,5,92,87,Yes,21.95,6.11,Study
Amanda Richardson,Female,7.7,90.22,,5,Average,81,91,84,Yes,90.43,7.28,Study
Paul Shaw,Female,5.25,28.37,10th,12,Average,73,4,79,No,45.92,9.76,Family
Gregory Richardson,Female,3.25,8.58,10th,107,Good,17,36,39,No,37.56,4.6,Gaming
David Martinez,Female,2.92,36.12,Degree,117,Average,94,58,46,Yes,73.12,9.37,Study
Mr. Brent Nunez,Female,7.02,11.87,Degree,3,Good,43,94,34,No,60.0,0.22,Gaming
James Goodwin,Female,6.92,67.02,Degree,21,Good,95,50,75,Yes,4.35,6.08,Family
Theresa Ray,Male,4.4,57.42,12th,47,Poor,79,21,17,No,79.36,1.61,Family
Jim Berry,Male,6.85,69.63,Degree,109,Average,98,81,77,Yes,46.8,1.94,Family
Andrea Parsons,Male,6.39,33.28,,80,Good,67,38,74,No,78.13,5.05,Gaming
Daniel Payne,Female,5.72,54.46,Degree,24,Good,11,5,1,No,61.23,9.29,Family
Chad Houston,Female,7.37,84.66,,117,Poor,70,9,94,No,15.21,3.86,Gaming
Steven Mcconnell,Male,4.57,21.73,Degree,7,Poor,61,99,38,No,72.31,0.86,Study
Tim Johnson,Male,3.07,20.15,Degree,3,Poor,20,24,62,Yes,31.66,4.47,Family
Virginia Kline,Male,9.36,96.38,12th,119,Average,36,100,69,Yes,44.0,0.6,Family
John Arias,Male,5.4,22.4,,97,Poor,50,29,28,Yes,93.31,8.88,Friends
Robin Hayes,Female,8.08,72.62,,0,Poor,23,68,52,No,88.97,5.34,Study
